##########
# Rows starting with '#' are considered comments (without '')
# use the following format:
# class package.classname; cpu time coefficient (for ns); cpu degree examples; cpu degree attributes; cpu logarithmus degree examples; cpu logarithmus degree attributes; 
#							memory coefficient; memory degree examples; memory degree attributes; memory logarithmus degree examples; memory logarithmus degree attributes
##########




class com.rapidminer.operator.learner.bayes.NaiveBayes;318;1;1;0;0;0;0;0;0;0


class com.rapidminer.operator.learner.lazy.KNNLearner;215;1;1;0;0;0;0;0;0;0


class com.rapidminer.operator.learner.functions.linear.LinearRegression;13;2.65;1;0;0;0;0;0;0;0
class com.rapidminer.operator.learner.functions.VectorLinearRegression;968747;1;1;2;0;0;0;0;0;0


class com.rapidminer.operator.learner.functions.kernel.JMySVMLearner;25;2;1;0;0;0;0;0;0;0
class com.rapidminer.operator.learner.functions.kernel.LinearMySVMLearner;25;2;1;0;0;0;0;0;0;0
class com.rapidminer.operator.learner.functions.kernel.LibSVMLearner;11;2;1;0;0;0;0;0;0;0
class com.rapidminer.operator.learner.functions.kernel.evosvm.EvoSVM;315;2;1;0;0;0;0;0;0;0
class com.rapidminer.operator.learner.functions.kernel.evosvm.PSOSVM;985;2;1;0;0;0;0;0;0;0
class com.rapidminer.operator.learner.functions.FastLargeMargin;81;2;1;0;0;0;0;0;0;0
# Function ...?
class com.rapidminer.operator.learner.functions.kernel.hyperhyper.HyperHyper;0;1;1;0;0;0;0;0;0;0


class com.rapidminer.operator.preprocessing.discretization.AbsoluteDiscretization;4944;1;1;0;0;0;0;0;0;0
class com.rapidminer.operator.preprocessing.discretization.BinDiscretization;3006;1;1;0;0;0;0;0;0;0
class com.rapidminer.operator.preprocessing.discretization.FrequencyDiscretization;4159;1;1;0;0;0;0;0;0;0
# operator exists?
class com.rapidminer.operator.preprocessing.discretization.MinMaxBinDiscretization;1;0;1;0;0;0;0;0;0;0
class com.rapidminer.operator.preprocessing.discretization.MinimalEntropyDiscretization;146707;1;1;0;0;0;0;0;0;0
class com.rapidminer.operator.preprocessing.discretization.UserBasedDiscretization;2080;1;1;0;0;0;0;0;0;0


# Function: m?
